Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","10/04/2021 21:53 UTC"
"Last updated:","08 December 2020"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=H02MqJ
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
1963,-,-,Switzerland,CHE,20000,0,0,,0,0
1963,-,-,"United Rep. of Tanzania",TZA,12000,0,0,,0,0
1963,-,-,Togo,TGO,5000,0,0,,0,0
1963,-,-,Tunisia,TUN,1000,0,0,,0,0
1963,-,-,Turkey,TUR,2300,0,0,,0,0
1963,-,-,Uganda,UGA,59000,0,0,,0,0
1963,-,-,"United States of America",USA,500000,0,0,,0,0
1963,-,-,"Unknown ",,125800,0,0,,0,0
1964,-,-,Egypt,EGY,470,0,0,,0,0
1964,-,-,Austria,AUT,25000,0,0,,0,0
1964,-,-,Burundi,BDI,78000,0,0,,0,0
1964,-,-,Belgium,BEL,47000,0,0,,0,0
1964,-,-,Cambodia,KHM,10000,0,0,,0,0
1964,-,-,Canada,CAN,10178,0,0,,0,0
1964,-,-,"Central African Rep.",CAF,3300,0,0,,0,0
1964,-,-,"Dem. Rep. of the Congo",COD,236000,0,0,,0,0
1964,-,-,France,FRA,175861,0,0,,0,0
1964,-,-,"United Kingdom of Great Britain and Northern Ireland",GBR,160000,0,0,,0,0
1964,-,-,Germany,DEU,180000,0,0,,0,0
1964,-,-,Greece,GRC,16000,0,0,,0,0
1964,-,-,"China, Hong Kong SAR",HKG,1120000,0,0,,0,0
1964,-,-,India,IND,44000,0,0,,0,0
1964,-,-,Italy,ITA,14000,0,0,,0,0
1964,-,-,Lebanon,LBN,1310,0,0,,0,0
1964,-,-,"China, Macao SAR",MAC,80000,0,0,,0,0
1964,-,-,Morocco,MAR,3000,0,0,,0,0
1964,-,-,Nepal,NPL,7000,0,0,,0,0
1964,-,-,Netherlands,NLD,9500,0,0,,0,0
1964,-,-,Senegal,SEN,30000,0,0,,0,0
1964,-,-,Spain,ESP,14000,0,0,,0,0
1964,-,-,Sweden,SWE,24000,0,0,,0,0
1964,-,-,Switzerland,CHE,20000,0,0,,0,0
1964,-,-,"United Rep. of Tanzania",TZA,25000,0,0,,0,0
1964,-,-,Togo,TGO,5000,0,0,,0,0
1964,-,-,Tunisia,TUN,1000,0,0,,0,0
1964,-,-,Turkey,TUR,2300,0,0,,0,0
1964,-,-,Uganda,UGA,113000,0,0,,0,0
1964,-,-,"United States of America",USA,500000,0,0,,0,0
1964,-,-,"Unknown ",,125030,0,0,,0,0
1965,-,-,Egypt,EGY,5000,0,0,,0,0
1965,-,-,Australia,AUS,40000,0,0,,0,0
1965,-,-,Austria,AUT,25000,0,0,,0,0
1965,-,-,Burundi,BDI,65000,0,0,,0,0
1965,-,-,Belgium,BEL,47000,0,0,,0,0
1965,-,-,Cambodia,KHM,15000,0,0,,0,0
1965,-,-,Canada,CAN,9980,0,0,,0,0
1965,-,-,"Central African Rep.",CAF,20560,0,0,,0,0
1965,-,-,"Dem. Rep. of the Congo",COD,265000,0,0,,0,0
1965,-,-,France,FRA,177665,0,0,,0,0
1965,-,-,"United Kingdom of Great Britain and Northern Ireland",GBR,170000,0,0,,0,0
1965,-,-,Germany,DEU,180000,0,0,,0,0
1965,-,-,Greece,GRC,15560,0,0,,0,0
1965,-,-,"China, Hong Kong SAR",HKG,1251200,0,0,,0,0
1965,-,-,India,IND,45000,0,0,,0,0
1965,-,-,Italy,ITA,15000,0,0,,0,0
1965,-,-,Lebanon,LBN,570,0,0,,0,0
1965,-,-,"China, Macao SAR",MAC,80000,0,0,,0,0
1965,-,-,Morocco,MAR,2360,0,0,,0,0
1965,-,-,Nepal,NPL,7000,0,0,,0,0
1965,-,-,Netherlands,NLD,9000,0,0,,0,0
1965,-,-,Rwanda,RWA,3000,0,0,,0,0
1965,-,-,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,25820,0,0,,0,0
1965,-,-,Senegal,SEN,50000,0,0,,0,0
1965,-,-,Spain,ESP,14000,0,0,,0,0
1965,-,-,Sweden,SWE,22000,0,0,,0,0
1965,-,-,Switzerland,CHE,20000,0,0,,0,0
1965,-,-,"United Rep. of Tanzania",TZA,29000,0,0,,0,0
